INST,PI,QF,QC,D,QED,ST,CTB,CHB,CTD,CHD,RT,RH,B
817b650e-2543-11f1-89cc-62770b4df268,pallet02,bad,good,good,75036.0,266.0,19.65,68.01,19.98,68.61,24.94,79.61,no
b76f0965-2543-11f1-89cc-62770b4df268,pallet02,bad,good,good,75015.0,110.0,20.04,69.58,19.09,70.09,22.37,57.65,yes
f037eecc-2543-11f1-89cc-62770b4df268,pallet01,good,excellent,good,60019.0,89.0,19.02,69.56,20.73,71.07,17.71,60.46,yes
25fb3553-2544-11f1-89cc-62770b4df268,pallet03,excellent,good,excellent,90009.0,92.0,20.62,70.31,20.06,69.77,26.45,54.77,yes
64b0fb16-2544-11f1-89cc-62770b4df268,pallet03,excellent,good,excellent,90044.0,113.0,20.13,68.24,20.8,69.93,26.33,43.22,no
a36958dd-2544-11f1-89cc-62770b4df268,pallet03,excellent,good,excellent,90018.0,136.0,20.38,68.64,19.6,73.47,24.31,49.84,no
eb15bc74-2544-11f1-89cc-62770b4df268,pallet03,excellent,good,excellent,90013.0,74.0,20.52,73.77,20.72,70.73,20.03,89.37,yes
29d4f80b-2545-11f1-89cc-62770b4df268,pallet02,bad,good,good,75014.0,97.0,21.1,67.95,20.16,67.41,23.06,88.26,yes
688d7ce2-2545-11f1-89cc-62770b4df268,pallet01,good,excellent,good,60016.0,112.0,20.15,65.44,19.91,72.49,21.61,93.95,yes
9e5975f9-2545-11f1-89cc-62770b4df268,pallet03,excellent,good,excellent,90015.0,107.0,20.33,73.09,20.84,71.06,14.03,89.93,no
e009b700-2545-11f1-89cc-62770b4df268,pallet02,bad,good,good,75013.0,87.0,21.39,70.98,19.57,69.11,13.07,45.76,no
1ebf2e97-2546-11f1-89cc-62770b4df268,pallet02,bad,good,good,75008.0,70.0,19.79,68.58,19.14,67.46,28.14,96.38,no
5d6f26ee-2546-11f1-89cc-62770b4df268,pallet02,bad,good,good,75012.0,121.0,19.72,68.51,19.95,69.76,10.66,85.28,no
9c27d2e1-2546-11f1-89cc-62770b4df268,pallet02,bad,good,good,75012.0,87.0,19.67,68.24,20.0,72.32,14.4,86.48,yes
d4e67f18-2546-11f1-89cc-62770b4df268,pallet02,bad,good,good,75014.0,98.0,20.82,70.94,19.2,72.14,14.48,50.5,yes
0aac5daf-2547-11f1-89cc-62770b4df268,pallet01,good,excellent,good,60017.0,84.0,19.71,72.84,19.65,69.17,16.81,86.19,yes
377eaba6-2547-11f1-89cc-62770b4df268,pallet01,good,excellent,good,60018.0,98.0,20.46,68.33,19.75,73.61,23.24,89.6,no
6458258d-2547-11f1-89cc-62770b4df268,pallet01,good,excellent,good,60016.0,147.0,19.18,72.62,20.02,73.46,28.78,92.69,no
9a257e34-2547-11f1-89cc-62770b4df268,pallet03,excellent,good,excellent,90017.0,68.0,19.64,71.89,20.47,69.37,21.91,79.64,yes
dbd3754b-2547-11f1-89cc-62770b4df268,pallet01,good,excellent,good,60014.0,88.0,20.31,69.38,20.11,65.58,10.28,89.53,yes
08a43ca2-2548-11f1-89cc-62770b4df268,pallet01,good,excellent,good,60006.0,83.0,20.09,69.22,21.12,75.28,10.8,56.98,yes
356f85b9-2548-11f1-89cc-62770b4df268,pallet02,bad,good,good,75010.0,71.0,20.38,72.47,20.53,70.16,16.63,68.83,no
