PI,QF,QC,D,QED,ST,CTB,CHB,CTD,CHD,RT,RH,B
pallet02,bad,good,good,75013.0,75101.0,28.95,73.29,10.73,74.81,21.85,90.7,no
pallet01,good,excellent,good,60007.0,60050.0,11.75,30.05,10.73,74.81,21.85,90.7,yes
pallet02,bad,good,good,75005.0,75049.0,14.96,87.24,10.73,74.81,21.85,90.7,no
pallet01,good,excellent,good,60007.0,60042.0,15.19,88.42,10.73,74.81,21.85,90.7,yes
pallet03,excellent,good,excellent,90011.0,90102.0,11.37,73.67,10.73,74.81,21.85,90.7,no
pallet02,bad,good,good,75012.0,75075.0,16.33,100.4,10.73,74.81,21.85,90.7,yes
pallet01,good,excellent,good,60011.0,60080.0,10.75,76.93,10.73,74.81,21.85,90.7,no
pallet03,excellent,good,excellent,90011.0,90072.0,12.47,35.04,10.73,74.81,21.85,90.7,yes
pallet01,good,excellent,good,60016.0,60056.0,12.54,32.17,10.73,74.81,21.85,90.7,no
pallet03,excellent,good,excellent,90008.0,90064.0,11.16,41.6,10.73,74.81,21.85,90.7,no
pallet01,good,excellent,good,60002.0,60035.0,11.22,71.16,10.73,74.81,21.85,90.7,no
pallet02,bad,good,good,75007.0,75053.0,15.26,92.78,10.73,74.81,21.85,90.7,yes
pallet02,bad,good,good,75007.0,75050.0,29.91,48.17,10.73,74.81,21.85,90.7,yes
pallet02,bad,good,good,75006.0,75055.0,17.74,65.14,10.73,74.81,21.85,90.7,no
pallet02,bad,good,good,75006.0,75066.0,11.08,34.99,10.73,74.81,21.85,90.7,yes
pallet03,excellent,good,excellent,90006.0,90061.0,26.08,75.4,10.73,74.81,21.85,90.7,yes
pallet01,good,excellent,good,60012.0,60053.0,26.83,69.56,10.73,74.81,21.85,90.7,yes
pallet02,bad,good,good,75009.0,75068.0,17.83,83.02,10.73,74.81,21.85,90.7,yes
pallet02,bad,good,good,75039.0,75109.0,17.6,97.72,10.73,74.81,21.85,90.7,yes
pallet02,bad,good,good,75012.0,75078.0,18.93,51.24,10.73,74.81,21.85,90.7,yes
pallet01,good,excellent,good,60009.0,60053.0,11.05,88.77,10.73,74.81,21.85,90.7,yes
pallet02,bad,good,good,75014.0,75045.0,17.53,94.29,10.73,74.81,21.85,90.7,no
pallet01,good,excellent,good,60011.0,60058.0,24.66,38.45,10.73,74.81,21.85,90.7,yes
pallet02,bad,good,good,75013.0,75092.0,20.77,104.08,10.73,74.81,21.85,90.7,no
pallet03,excellent,good,excellent,90008.0,90054.0,19.08,47.62,10.73,74.81,21.85,90.7,no
pallet02,bad,good,good,75008.0,75050.0,12.02,78.86,10.73,74.81,21.85,90.7,no
pallet02,bad,good,good,75006.0,75065.0,25.38,33.89,10.73,74.81,21.85,90.7,yes
pallet03,excellent,good,excellent,90007.0,90047.0,26.9,38.59,10.73,74.81,21.85,90.7,yes
pallet02,bad,good,good,75010.0,75055.0,13.84,55.79,10.73,74.81,21.85,90.7,no
pallet02,bad,good,good,75011.0,75059.0,28.52,94.94,10.73,74.81,21.85,90.7,no
pallet01,good,excellent,good,60012.0,60059.0,15.87,82.86,10.73,74.81,21.85,90.7,yes
pallet01,good,excellent,good,60020.0,60069.0,22.39,109.32,10.73,74.81,21.85,90.7,yes
pallet01,good,excellent,good,60014.0,60085.0,10.4,67.27,10.73,74.81,21.85,90.7,yes
pallet03,excellent,good,excellent,90012.0,90076.0,16.93,109.33,10.73,74.81,21.85,90.7,no
pallet02,bad,good,good,75008.0,75045.0,14.44,74.81,10.73,74.81,21.85,90.7,yes
pallet01,good,excellent,good,60003.0,60055.0,15.58,105.44,10.73,74.81,21.85,90.7,yes
pallet01,good,excellent,good,60007.0,60047.0,14.95,35.79,10.73,74.81,21.85,90.7,no
pallet02,bad,good,good,75002.0,75054.0,22.98,66.97,10.73,74.81,21.85,90.7,no
pallet02,bad,good,good,75009.0,75051.0,21.57,75.3,10.73,74.81,21.85,90.7,yes
